1,Cash - Checking Account,11010
1,Investments,11011
1,Petty Cash,11012
1,Accounts Receivable Trade,11030
1,Due From Kevin,11036
1,Due From Dutch,11037
1,Due From Ken ; House,11039
1,Due From Ken,11040
1,Due From Kirstin,11041
1,Due From Connie,11042
1,Due From Red Licorice,11043
1,Inventory,11050
1,Inventory Adjustment,11070
1,Receivable Kevin Reilley Car Loan,11075
1,Receivable Kevin Haines,11076
1,Receivable Dan Schultz Car Loan,11077
1,Receivbale Employees,11080
1,Prepaid State Tax,11090
2,Spc Lab Equipment,12010
2,Acum Deprec Spc Lab Equipment,12015
2,Office Equipment & Computer Hdwe,12020
2,Accum Depr - Office Equip,12025
2,Vehicles,12030
2,Accum Depr - Vehicles,12035
2,Art - Pictures,12040
2,Accum Depr - Art (Pictures),12045
2,Office Upgrades,12050
2,Accum Depr - Office Upgrades,12055
2,Equipment ; Tractor,12060
2,Accum Depr - Equipment (Tractor),12065
2,Thermo Xl2  800 Analyzer,12067
2,Acc Depr : Thermo Xl2 800 Analyzer,12068
2,Zeiss Cmm,12070
1,Goodwill,13010
3,Suspense,13020
3,Note Receivable-George Glaski,13040
3,Note Receivable-Daniel Schultz,13045
4,Credit Card ; Bank Of America,21000
4,Accounts Payable,21010
4,Due To Dutch : Butternut,21020-010
4,Due To Dutch : Vehicle,21021
4,Due To Mustard Seed,21080
4,Nys Franchise Tax Pay,21100
4,941 Payroll Taxes,23010-110
4,Nys Income Tax P/R,23010-210
4,Federal Unemployment Tax  940 P/R,23010-310
4,Nys Unemployment Tax,23010-410
4,Garnishment Withholding,23011
4,401K Payable,23015
1,State Income Tax Payable,23120
4,Sales Taxes Payable,23210
10,"Profit Sharing Fund, Payable",23220
5,Note Payable Hsbc,29010
5,Note Payable : Bill Aaa,29020
5,Note Payable Shareholders,29021
5,Note Payable The New England,29022
5,Note Payable : Kevin Reilley,29023
5,Note Payable : Dutch Schultz,29024
5,Note Payable : Kirstin,29025
5,Note Payable : Ken,29026
5,Loan Payable Ford Motor Credit,29030
5,Loan Payable Gmac,29031
5,Note Payable - Chrysler Credit,29032
5,Loan Payable Chase Automotive,29033
5,Note Payable ; Hsbc(Sport Trac),29034
5,Note Payable : Hsbc,29035
5,Note Payable : Hsbc (Loc),29036
5,Note Payable : Mustard Seed (Loc),29037
5,Car Loan ; Sentra,29038
5,Car Loan : Frontier,29039
5,Kevin ; Profit Sharing,29040
5,Dutch ; Profit Sharing,29045
5,Thermo Analyzer,29050
5,Car Loan ; Highlander,29055
5,Note Payable : Ford Credit,29060
6,Opening Balance Equity,30000
6,Common Stock,31010
6,Treasury Stock,31015
6,Retained Earnings,31020
6,Aaa ; Bill,31035
6,Aaa ; Kevin (2003),31036
6,Aaa ; Dutch (2003),31037
6,Aaa; Ken (2004),31040
6,Aaa; Kirstin (2004),31041
6,Aaa; Kevin (2004),31042
6,Aaa; Dutch (2004),31043
6,Aaa; Ken(2005),31044
6,Aaa; Kirstin(2005),31045
6,Aaa; Kevin(2005),31046
6,Aaa; Dutch(2005),31047
6,Aaa ; Ken (2006),31048
6,Aaa ; Kirstin (2006),31049
6,Aaa ; Kevin (2006),31050
6,Aaa ; Dutch (2006),31051
6,Aaa ; Ken (2007),31052
6,Aaa ; Kevin (2007),31053
6,Aaa ; Dutch (2007),31054
6,Aaa : Ken (2008),31055
6,Aaa : Kevin (2008),31056
6,Aaa : Dutch (2008),31057
6,Aaa : Ken (2009),31058
6,Aaa : Kevin (2009),31059
6,Aaa : Dutch (2009),31060
6,Aaa : Dutch (2010),31061
6,Aaa : Kevin (2010),31062
6,Aaa : Ken (2010),31063
6,Aaa ; Ken (2011),31064
6,Aaa ; Kevin (2011),31065
6,Aaa ; Dutch (2011),31066
6,Aaa ; Ken (2012),31067
6,Aaa ; Kevin (2012),31068
6,Aaa ; Dutch (2012),31069
6,Aaa ; Ken (2013),31070
6,Aaa ; Kevin (2013),31071
6,Aaa ; Dutch (2013),31072
6,Investment ; Marketvuse,38000
4,Suspense Account,39999
7,Sales Income,41010-010
7,Returns & Allowances,41015-010
7,Due To And From Dutch Schultz,41020-010
7,Sales Discounts,41025-010
7,Interest Income,41030
8,Cost Of Goods Sold,51010-010
8,Cogs; Discount,51010-020
8,Freight ; Truck & Air,51020-010
8,Freight ; Ups,51020-020
8,Import Paperwork,51030-010
8,Duty On Imported Goods,51030-020
8,Ocean Charges / Ddc / Cartage,51030-030
8,Cfs - Separation Charges,51030-040
8,Storage Fees,51030-050
8,Sub Contractors,51300
8,Contract Labor,51400
10,Gain/Loss Asset Sale,61030
9,Advertising,71010
9,Vehicles Lease (Ford Motor/Gmac),71020
10,Depreciation,71030
10,Depreciation,71030-100
10,Dues And Subscriptions,71040
9,Travel Expense,71050
9,Travel Expense Bill D.,71050-010
9,Travel Expense Misc,71050-020
9,Travel Expense Phil V.,71050-030
9,Travel Expense ; Hotels,71050-040
9,Travel Expense ; Meals,71050-050
9,Travel Expense ; Gasoline,71050-060
10,Insurance,71060
10,Health Insurance,71060-010
10,Health Insurance ; Employee Pay Out,71060-020
10,Health Insurance- Hsa Contribution,71060-025
10,Vehicle Insurance,71060-030
10,Health Ins : Shareholders,71060-035
10,Worker Compensation Insurance,71060-040
10,Commercial Insurance,71060-050
10,Interest Expense ; Bank,71070
10,Interest Expense ; Kevin (Loan),71070-100
10,Interest Expense ; Dutch (Loan),71070-200
10,Interest ; Kevin (Profit),71070-300
10,Interest ; Dutch (Profit),71070-400
10,Interest ; Bill (Loan),71070-500
10,Credit Card Charges,71080
9,Vehicles Expense,71100
10,Health & Vision,71103
10,Cafeteria Plan,71105
10,Office Expense,71107
10,Office Supplies,71110
10,Office Supplies - Software,71110-010
10,Office ; Kitchen Supplies,71112
10,Quality Lab - Calibration & Gages,71115
10,Computer Expense & Software,71116
10,Computer Programming,71117
10,Postage,71120
10,Warehouse Supplies,71130
10,Rent,71150
10,Repairs And Maintenance,71160
10,Plowing,71161
10,Landscaping,71162
10,Rentals & Equipment Lease,71163
10,Rubbish Removal,71165
10,Consultant - Accountant,71172
10,Consultants - Other,71173
10,Consultants ; Contract,71174
10,"Convenant ""Not To Compete""",71175
10,Iso Training,71185
10,Telephone,71190
10,Telephone ; Cellular,71195
10,Niagara Mohawk,71210
10,Niagara Mohawk ; Gas,71215
9,Entertainment,71220
10,Time Warner--Cable,71231
10,Time Warner--Roadrunner,71231-010
10,Time Warner--Security,71231-020
10,Gross Payroll,71232
10,Unemployment Insurance Fed & Ny,71233
10,Fica Expense,71234
10,Suta Expense,71236
10,Contributions,71245
10,Contribution-Profit Sharing,71245-010
10,Profit Sharing Expense,71250
10,401K Match,71280
10,Bad Debt Expense,71300
10,Reconcile Write Off,71400
10,Sales Tax (Expense),91130
